duration,genre,rating,title,year
1h 35min,Adventure,8.2,The Gold Rush,1925
2h 9min,Drama,8.2,The Secret in Their Eyes,2009
1h 58min,Drama,8.2,Pan's Labyrinth,2006
2h 9min,Biography,8.2,Raging Bull,1980
2h 58min,Crime,8.2,Casino,1995
2h 22min,Drama,8.3,Come and See,1985
2h 15min,Biography,8.2,A Beautiful Mind,2001
2h 52min,Adventure,8.2,The Great Escape,1963
2h 42min,Action,8.2,Ran,1985
2h 18min,Drama,8.2,All About Eve,1950
1h 59min,Animation,8.2,Howl's Moving Castle,2004
1h 26min,Animation,8.2,My Neighbor Totoro,1988
2h 1min,Comedy,8.2,Some Like It Hot,1959
2h 32min,Action,8.3,Ford v Ferrari,2019
1h 29min,Drama,8.3,Children of Heaven,1997
2h 36min,Biography,8.2,Downfall,2004
2h 10min,Biography,8.2,Green Book,2018
2h 10min,Drama,8.2,Unforgiven,1992
1h 50min,Action,8.2,Yojimbo,1961
2h 20min,Action,8.2,Batman Begins,2005
2h 12min,Action,8.2,Die Hard,1988
1h 28min,Crime,8.2,Rashomon,1950
1h 31min,Adventure,8.2,Monty Python and the Holy Grail,1975
2h 50min,Crime,8.2,Heat,1995
2h 18min,Crime,8.2,L.A. Confidential,1997
2h 11min,Drama,8.3,Incendies,2010
2h 5min,Comedy,8.3,The Apartment,1960
2h 7min,Action,8.2,Indiana Jones and the Last Crusade,1989
1h 36min,Animation,8.2,Up,2009
2h 23min,Drama,8.3,Ikiru,1952
1h 47min,Crime,8.3,Double Indemnity,1944
2h 9min,Crime,8.3,To Kill a Mockingbird,1962
2h 3min,Drama,8.3,A Separation,2011
2h 6min,Drama,8.4,Capernaum,2018
2h 12min,Western,8.3,For a Few Dollars More,1965
2h 9min,Comedy,8.3,The Sting,1973
1h 54min,Crime,8.3,Taxi Driver,1976
2h 33min,Drama,8.3,Metropolis,1927
1h 43min,Animation,8.3,Toy Story 3,2010
3h 48min,Adventure,8.3,Lawrence of Arabia,1962
2h 50min,Crime,8.3,Scarface,1983
1h 43min,Comedy,8.3,Singin' in the Rain,1952
2h 2min,Comedy,8.3,Amélie,2001
1h 8min,Comedy,8.3,The Kid,1921
1h 42min,Comedy,8.3,Snatch,2000
1h 29min,Drama,8.3,Bicycle Thieves,1948
2h 16min,Adventure,8.3,North by Northwest,1959
1h 55min,Drama,8.3,The Hunt,2012
